-0.2686131387,0.0219263121,0.1313868613
-0.2065693431,0.0215084463,0.1934306569
-0.1299270073,0.0209765728,0.2700729927
-0.0751824818,0.0205966632,0.3248175182
-0.0131386861,0.0200645116,0.3868613139
0.0708029197,0.0197994439,0.4708029197
0.1510948905,0.0193438304,0.5510948905
0.2532846715,0.0190410149,0.6532846715
0.3299270073,0.0188139034,0.7299270073
0.4321167883,0.0185872784,0.8321167883
0.5416058394,0.0183988877,0.9416058394
0.6255474453,0.0182862009,1.0255474453
0.7058394161,0.0183258255,1.1058394161
0.7861313869,0.0179464025,1.1861313869
0.8591240876,0.0178716024,1.2591240876
0.9467153285,0.0174923184,1.3467153285
1.001459854,0.0173028849,1.401459854
1.0781021898,0.0169614877,1.4781021898
1.1474452555,0.0168485228,1.5474452555
1.2167883212,0.0165450817,1.6167883212
1.2788321168,0.016317692,1.6788321168
1.3554744526,0.0159762948,1.7554744526
1.4357664234,0.0157492527,1.8357664234
1.4941605839,0.0157884602,1.8941605839
